lambda,sigma,opt,phase,prr,simple_error,maxmin_error
0.5,450.0,570622918.9188758,1418952950.802411,1464856343.4361122,222599804376.7621,65795271266.720985
0.75,450.0,570622918.9188758,1445185544.7271204,1277723861.7280824,222599804376.7621,65795271266.720985
1.0,450.0,570622918.9188758,1416836418.5937912,1140946569.7315185,222599804376.7621,65795271266.720985
0.0,450.0,570622918.9188758,1141075937.7382307,1536816065.3682313,224344172416.8077,66676683607.97547
0.25,450.0,570622918.9188758,1386969773.7959867,1595815407.0474803,224344172416.8077,66676683607.97547
0.5,450.0,570622918.9188758,1414364245.9920201,1443095177.0878732,224344172416.8077,66676683607.97547
0.75,450.0,570622918.9188758,1413966545.6586974,1276820637.2881413,224344172416.8077,66676683607.97547
1.0,450.0,570622918.9188758,1406263018.9905283,1140944069.5715153,224344172416.8077,66676683607.97547
0.0,0.0,567030064.5680966,1133883363.5583699,567030064.5680966,0.0,0.0
0.25,0.0,567030064.5680966,1183452563.1595376,648009107.2810183,0.0,0.0
0.5,0.0,567030064.5680966,1214964632.4904552,755981164.2315782,0.0,0.0
0.75,0.0,567030064.5680966,1199985014.450722,907142043.9623111,0.0,0.0
1.0,0.0,567030064.5680966,1038925024.2200938,1133883363.558369,0.0,0.0
0.0,0.0,567030064.5680966,1133883363.5583699,567030064.5680966,0.0,0.0
0.25,0.0,567030064.5680966,1109233254.8095188,648009107.2810183,0.0,0.0
0.5,0.0,567030064.5680966,1273765818.9391794,755981164.2315782,0.0,0.0
0.75,0.0,567030064.5680966,1222713443.845617,907142043.9623111,0.0,0.0
1.0,0.0,567030064.5680966,1179011610.4652216,1133883363.558369,0.0,0.0
0.0,0.0,567030064.5680966,1133883363.5583699,567030064.5680966,0.0,0.0
0.25,0.0,567030064.5680966,1103643363.1366262,648009107.2810183,0.0,0.0
0.5,0.0,567030064.5680966,1302149597.328346,755981164.2315782,0.0,0.0
0.75,0.0,567030064.5680966,1200488427.406658,907142043.9623111,0.0,0.0
1.0,0.0,567030064.5680966,1213357219.5215497,1133883363.558369,0.0,0.0
0.0,0.0,567030064.5680966,1133883363.5583699,567030064.5680966,0.0,0.0
0.25,0.0,567030064.5680966,1206153807.9072864,648009107.2810183,0.0,0.0
0.5,0.0,567030064.5680966,1245122702.0230937,755981164.2315782,0.0,0.0
0.75,0.0,567030064.5680966,1085708745.71232,907142043.9623111,0.0,0.0
1.0,0.0,567030064.5680966,1172965276.6486113,1133883363.558369,0.0,0.0
0.0,0.0,567030064.5680966,1133883363.5583699,567030064.5680966,0.0,0.0
0.25,0.0,567030064.5680966,1400458432.4713435,648009107.2810183,0.0,0.0
0.5,0.0,567030064.5680966,1255821924.3263705,755981164.2315782,0.0,0.0
0.75,0.0,567030064.5680966,1043661823.6707484,907142043.9623111,0.0,0.0
1.0,0.0,567030064.5680966,1056791002.4180834,1133883363.558369,0.0,0.0
0.0,50.0,567030064.5680966,1133883363.5583699,1157816918.7984502,24180759379.630386,7464203229.735933
0.25,50.0,567030064.5680966,1404657089.0162206,1263394087.8599424,24180759379.630386,7464203229.735933
0.5,50.0,567030064.5680966,1375301441.6489968,1247338442.0372727,24180759379.630386,7464203229.735933
0.75,50.0,567030064.5680966,1397438624.281746,1192780044.5464556,24180759379.630386,7464203229.735933
1.0,50.0,567030064.5680966,1371620686.0769773,1133752773.1047823,24180759379.630386,7464203229.735933
0.0,50.0,567030064.5680966,1133883363.5583699,1139208122.4703765,24213211831.02688,7471869811.725077
0.25,50.0,567030064.5680966,1396725557.1607692,1241685563.6616857,24213211831.02688,7471869811.725077
0.5,50.0,567030064.5680966,1402693026.600841,1227100321.0260093,24213211831.02688,7471869811.725077
0.75,50.0,567030064.5680966,1431680211.1036253,1179795695.2790208,24213211831.02688,7471869811.725077
1.0,50.0,567030064.5680966,1405634437.2219164,1133754715.620672,24213211831.02688,7471869811.725077
0.0,50.0,567030064.5680966,1133883363.5583699,1142379262.3298578,24366399970.40349,7562107543.892449
0.25,50.0,567030064.5680966,1410660737.9134686,1242034654.5645092,24366399970.40349,7562107543.892449
0.5,50.0,567030064.5680966,1360657898.7225022,1228295826.19748,24366399970.40349,7562107543.892449
